Open time,FIROUSDT,DEXEUSDT,ERNUSDT,HARDUSDT,STMXUSDT,DIAUSDT,PNTUSDT,UMAUSDT,SFPUSDT,MLNUSDT,DATAUSDT,PONDUSDT,ANKRUSDT,DENTUSDT,LINAUSDT,SUNUSDT,ARDRUSDT,DOCKUSDT,CTSIUSDT,KMDUSDT,OGNUSDT,SCUSDT,BELUSDT,CELOUSDT,IOTXUSDT,LTOUSDT,OXTUSDT,QTUMUSDT,ZENUSDT,BANDUSDT
2025-09-10 19:00:00,,6.969,,,,0.7486,,1.396,0.473,8.16,0.01591,0.00858,0.01552,0.00077,,0.02063,0.08628,,0.0805,,0.0647,0.003045,0.255,0.3094,0.02656,,0.0538,2.593,7.488,0.757
2025-09-10 20:00:00,,6.929,,,,0.7404,,1.391,0.4697,8.11,0.01576,0.00853,0.01537,0.000756,,0.02056,0.08543,,0.0798,,0.0639,0.003028,0.2523,0.3057,0.02633,,0.0533,2.572,7.418,0.747
2025-09-10 21:00:00,,6.93,,,,0.7424,,1.393,0.471,8.17,0.01576,0.00855,0.01547,0.000759,,0.02056,0.08592,,0.0805,,0.0644,0.00303,0.2536,0.3069,0.02625,,0.0535,2.583,7.443,0.747
2025-09-10 22:00:00,,6.944,,,,0.747,,1.402,0.4728,8.18,0.01579,0.00858,0.01551,0.000763,,0.02057,0.08622,,0.0808,,0.0648,0.003045,0.2563,0.3088,0.02631,,0.0537,2.588,7.467,0.754
2025-09-10 23:00:00,,6.955,,,,0.7505,,1.408,0.4735,8.19,0.01587,0.00858,0.01553,0.000765,,0.02058,0.08647,,0.081,,0.0651,0.003049,0.2572,0.3107,0.02635,,0.0539,2.595,7.487,0.756
2025-09-11 00:00:00,,6.973,,,,0.7518,,1.405,0.4727,8.14,0.01589,0.00859,0.01553,0.000765,,0.02057,0.0865,,0.0811,,0.0652,0.003046,0.257,0.3095,0.02647,,0.0539,2.593,7.487,0.755
2025-09-11 01:00:00,,6.982,,,,0.7504,,1.405,0.4723,8.16,0.01619,0.00859,0.01551,0.000766,,0.02065,0.08628,,0.0813,,0.065,0.003048,0.2568,0.3095,0.02656,,0.0539,2.583,7.488,0.758
2025-09-11 02:00:00,,7.001,,,,0.7509,,1.404,0.4734,8.19,0.01611,0.0086,0.01555,0.00077,,0.02074,0.08628,,0.0829,,0.0649,0.003055,0.2573,0.3105,0.02668,,0.054,2.588,7.507,0.759
2025-09-11 03:00:00,,6.992,,,,0.7485,,1.404,0.4722,8.18,0.01615,0.00861,0.01552,0.000766,,0.02072,0.08633,,0.0826,,0.065,0.003043,0.257,0.3091,0.02657,,0.0539,2.603,7.483,0.757
2025-09-11 04:00:00,,7.018,,,,0.75,,1.413,0.474,8.19,0.01622,0.00861,0.01555,0.000771,,0.02078,0.08643,,0.0833,,0.066,0.003059,0.258,0.312,0.02676,,0.0548,2.604,7.532,0.76
2025-09-11 05:00:00,,7.011,,,,0.7456,,1.412,0.4719,8.18,0.01615,0.0086,0.01558,0.000769,,0.0208,0.08623,,0.0825,,0.0658,0.003053,0.2557,0.3114,0.02678,,0.0547,2.608,7.537,0.758
2025-09-11 06:00:00,,6.988,,,,0.7553,,1.403,0.4726,8.14,0.01621,0.00856,0.0155,0.000765,,0.02097,0.08624,,0.0818,,0.0658,0.003048,0.2546,0.3091,0.02694,,0.0544,2.599,7.524,0.753
2025-09-11 07:00:00,,6.985,,,,0.7589,,1.412,0.4733,8.2,0.01627,0.0086,0.01555,0.000769,,0.02103,0.08628,,0.0823,,0.0657,0.003053,0.2571,0.3115,0.02694,,0.0546,2.61,7.564,0.758
2025-09-11 08:00:00,,6.972,,,,0.7584,,1.415,0.4744,8.39,0.01628,0.00862,0.01561,0.000771,,0.02098,0.08635,,0.0821,,0.066,0.003048,0.2582,0.3131,0.02682,,0.0546,2.606,7.531,0.759
2025-09-11 09:00:00,,6.994,,,,0.753,,1.413,0.4725,8.26,0.0162,0.00859,0.01557,0.000769,,0.02091,0.08618,,0.0816,,0.0658,0.003053,0.2567,0.3128,0.02678,,0.0544,2.595,7.496,0.755
2025-09-11 10:00:00,,6.945,,,,0.7516,,1.41,0.4719,8.22,0.0161,0.00857,0.01553,0.000768,,0.02085,0.0861,,0.0815,,0.0654,0.00304,0.2562,0.3111,0.0267,,0.0542,2.589,7.473,0.749
2025-09-11 11:00:00,,6.952,,,,0.7521,,1.41,0.4718,8.21,0.01606,0.00858,0.01553,0.000768,,0.02095,0.08669,,0.0811,,0.0652,0.003041,0.2551,0.3115,0.02675,,0.0541,2.584,7.491,0.748
2025-09-11 12:00:00,,6.944,,,,0.7423,,1.398,0.4702,8.14,0.01598,0.00858,0.01544,0.00076,,0.02096,0.08605,,0.0803,,0.0649,0.003031,0.2535,0.3092,0.02666,,0.0536,2.574,7.431,0.744
2025-09-11 13:00:00,,6.949,,,,0.743,,1.4,0.4714,8.13,0.01594,0.00852,0.01541,0.00076,,0.02095,0.08576,,0.0806,,0.0649,0.003018,0.2552,0.3095,0.02695,,0.0538,2.568,7.413,0.746
2025-09-11 14:00:00,,6.958,,,,0.745,,1.402,0.4718,8.15,0.01594,0.00853,0.01545,0.000762,,0.02103,0.08506,,0.0806,,0.0655,0.003026,0.2565,0.3102,0.02731,,0.0538,2.569,7.406,0.746
2025-09-11 15:00:00,,6.943,,,,0.7382,,1.398,0.4697,8.13,0.01579,0.0085,0.01538,0.000758,,0.02101,0.08489,,0.0799,,0.0651,0.003004,0.2543,0.3078,0.02744,,0.0534,2.555,7.378,0.74
2025-09-11 16:00:00,,6.935,,,,0.7403,,1.394,0.4679,8.1,0.01576,0.00848,0.0153,0.000756,,0.02088,0.08458,,0.0797,,0.0653,0.003002,0.2544,0.3069,0.02754,,0.0532,2.555,7.349,0.74
2025-09-11 17:00:00,,6.941,,,,0.7433,,1.413,0.4695,8.13,0.01583,0.0085,0.01531,0.000757,,0.02084,0.08483,,0.0802,,0.0684,0.003003,0.2563,0.3081,0.0274,,0.0534,2.565,7.382,0.746
2025-09-11 18:00:00,,6.923,,,,0.7425,,1.417,0.474,8.13,0.01592,0.00852,0.01537,0.00076,,0.02087,0.08498,,0.0809,,0.0655,0.003018,0.2558,0.3104,0.02763,,0.0536,2.586,7.402,0.747
2025-09-11 19:00:00,,6.917,,,,0.7381,,1.419,0.474,8.13,0.01589,0.00849,0.01531,0.000764,,0.02088,0.08501,,0.0805,,0.065,0.003013,0.2553,0.3102,0.02751,,0.0535,2.583,7.398,0.745
2025-09-11 20:00:00,,6.94,,,,0.7393,,1.422,0.4748,8.16,0.01594,0.00854,0.01537,0.000766,,0.02097,0.08547,,0.0809,,0.0655,0.003021,0.2567,0.311,0.02757,,0.0536,2.586,7.422,0.749
2025-09-11 21:00:00,,6.942,,,,0.74,,1.414,0.4744,8.17,0.01586,0.00852,0.01536,0.000764,,0.02097,0.08535,,0.0809,,0.0654,0.003014,0.2565,0.3122,0.02754,,0.0536,2.586,7.477,0.75
2025-09-11 22:00:00,,6.94,,,,0.7436,,1.417,0.4748,8.19,0.01597,0.00853,0.01534,0.000768,,0.02098,0.08565,,0.081,,0.0654,0.003028,0.2575,0.3132,0.0277,,0.0536,2.593,7.535,0.751
2025-09-11 23:00:00,,6.945,,,,0.741,,1.425,0.4766,8.25,0.01605,0.00855,0.01543,0.000769,,0.02099,0.08568,,0.0816,,0.0658,0.003035,0.2583,0.314,0.02758,,0.0539,2.597,7.57,0.756
2025-09-12 00:00:00,,6.96,,,,0.7398,,1.427,0.4772,8.23,0.01602,0.00857,0.01542,0.000769,,0.02104,0.08622,,0.0817,,0.0658,0.003031,0.259,0.3147,0.02771,,0.054,2.6,7.561,0.756
2025-09-12 01:00:00,,6.908,,,,0.7443,,1.439,0.4793,8.26,0.01611,0.00858,0.01556,0.000775,,0.02109,0.08744,,0.0823,,0.066,0.00304,0.2604,0.3162,0.02781,,0.0542,2.6,7.568,0.765
2025-09-12 02:00:00,,6.929,,,,0.7463,,1.437,0.4762,8.22,0.01607,0.00855,0.0155,0.00077,,0.02103,0.08665,,0.082,,0.0654,0.00303,0.2584,0.3154,0.02755,,0.0539,2.577,7.522,0.76
2025-09-12 03:00:00,,6.93,,,,0.7471,,1.435,0.4761,8.22,0.01613,0.00853,0.01554,0.00077,,0.02108,0.08696,,0.0815,,0.0653,0.003032,0.2587,0.3144,0.02764,,0.0538,2.582,7.54,0.759
2025-09-12 04:00:00,,6.972,,,,0.7438,,1.437,0.4751,8.21,0.01606,0.00853,0.01551,0.000766,,0.02103,0.08648,,0.0815,,0.0654,0.003026,0.2586,0.3128,0.02763,,0.0535,2.579,7.508,0.757
2025-09-12 05:00:00,,7.013,,,,0.7458,,1.441,0.4768,8.22,0.01614,0.00853,0.01553,0.000768,,0.02114,0.0868,,0.0817,,0.0663,0.003042,0.2597,0.313,0.02769,,0.054,2.575,7.512,0.757
2025-09-12 06:00:00,,6.986,,,,0.7501,,1.45,0.4804,8.28,0.01617,0.00857,0.01559,0.000771,,0.02109,0.08709,,0.0827,,0.0662,0.003048,0.2625,0.3161,0.0279,,0.0543,2.597,7.554,0.768
2025-09-12 07:00:00,,7.02,,,,0.7451,,1.463,0.4781,8.25,0.01606,0.00856,0.01555,0.000772,,0.02103,0.08674,,0.0824,,0.0659,0.003045,0.2594,0.3155,0.02785,,0.0545,2.588,7.509,0.763
2025-09-12 08:00:00,,7.016,,,,0.7461,,1.44,0.4781,8.21,0.01605,0.00857,0.01555,0.00077,,0.02098,0.08701,,0.0819,,0.0663,0.003039,0.2581,0.3152,0.02782,,0.0544,2.584,7.523,0.76
2025-09-12 09:00:00,,6.999,,,,0.7375,,1.437,0.4785,8.18,0.01608,0.00854,0.01548,0.000765,,0.02096,0.08684,,0.082,,0.0658,0.003041,0.2578,0.3135,0.02758,,0.0542,2.58,7.484,0.759
2025-09-12 10:00:00,,6.96,,,,0.7267,,1.426,0.4741,8.15,0.01597,0.00854,0.01543,0.000763,,0.02097,0.08671,,0.0813,,0.0653,0.003032,0.2553,0.3124,0.0275,,0.0539,2.571,7.471,0.753
2025-09-12 11:00:00,,6.92,,,,0.725,,1.424,0.475,8.16,0.016,0.00854,0.0154,0.000761,,0.02093,0.0867,,0.0818,,0.0654,0.00302,0.2566,0.3123,0.02743,,0.054,2.57,7.447,0.752
2025-09-12 12:00:00,,6.915,,,,0.7231,,1.417,0.473,8.14,0.01595,0.00853,0.01537,0.000756,,0.02092,0.08672,,0.0811,,0.0652,0.00301,0.2558,0.3103,0.02723,,0.0537,2.55,7.389,0.747
2025-09-12 13:00:00,,6.908,,,,0.7294,,1.418,0.4736,8.2,0.01601,0.00856,0.01542,0.000759,,0.02095,0.08744,,0.0817,,0.0654,0.003019,0.2573,0.3114,0.02734,,0.0538,2.558,7.435,0.748
2025-09-12 14:00:00,,6.908,,,,0.7305,,1.419,0.4747,8.23,0.01604,0.00856,0.01545,0.00076,,0.02091,0.08817,,0.0818,,0.0656,0.003012,0.2583,0.312,0.02735,,0.054,2.567,7.44,0.751
2025-09-12 15:00:00,,6.937,,,,0.7292,,1.368,0.4754,8.26,0.01606,0.00867,0.01554,0.000762,,0.02096,0.08747,,0.084,,0.0655,0.003017,0.2584,0.3128,0.02738,,0.0541,2.593,7.449,0.754
2025-09-12 16:00:00,,6.928,,,,0.7305,,1.364,0.4736,8.24,0.01594,0.00866,0.01545,0.000759,,0.02093,0.08755,,0.0844,,0.0654,0.003009,0.2583,0.311,0.02721,,0.0544,2.591,7.443,0.752
2025-09-12 17:00:00,,6.927,,,,0.735,,1.384,0.4776,8.32,0.01604,0.0087,0.01559,0.000769,,0.02099,0.08792,,0.0825,,0.0658,0.00303,0.2604,0.3147,0.02727,,0.0549,2.607,7.5,0.757
2025-09-12 18:00:00,,6.93,,,,0.7422,,1.401,0.4797,8.32,0.01619,0.00876,0.01564,0.000776,,0.02103,0.08811,,0.0826,,0.0662,0.003038,0.262,0.3176,0.02743,,0.0554,2.621,7.65,0.761
2025-09-12 19:00:00,,6.975,,,,0.7474,,1.415,0.4828,8.36,0.01619,0.00875,0.01573,0.000779,,0.02102,0.08825,,0.0823,,0.0667,0.003041,0.2625,0.319,0.02747,,0.0553,2.628,7.699,0.771
2025-09-12 20:00:00,,6.958,,,,0.7485,,1.421,0.4837,8.35,0.01618,0.00876,0.01575,0.000781,,0.02104,0.08793,,0.0821,,0.0667,0.003046,0.2627,0.3198,0.02766,,0.0554,2.616,7.707,0.774
2025-09-12 21:00:00,,6.957,,,,0.744,,1.418,0.483,8.31,0.01622,0.00875,0.01569,0.000779,,0.02111,0.08807,,0.0821,,0.0665,0.003049,0.2628,0.3192,0.02763,,0.0551,2.623,7.684,0.774
